zip,tract
501,36103158607
601,72113071700
601,72001956800
601,72001956300
601,72001956600
601,72001956700
602,72005400300
602,72003430602
602,72003430300
602,72003430200
603,72005400300
603,72005400700
603,72005400502
603,72005400900
603,72005400800
603,72005401000
603,72005400400
603,72005400600
603,72005401100
603,72005400501
603,72071410300
603,72005401301
603,72005401302
604,72005400300
605,72005401301
606,72093960100
606,72093960200
610,72011810700
610,72011810300
610,72011810500
610,72011810400
610,72011810200
611,72141957100
612,72141957100
612,72013300101
612,72013300700
612,72054580200
612,72013302000
612,72013301200
612,72013300400
612,72013302100
612,72013300200
612,72013301300
612,72013301600
612,72013301700
612,72065310500
612,72013301100
612,72013300302
612,72013302300
612,72013301400
612,72013300500
612,72013301800
612,72013301000
612,72013300800
612,72013301500
612,72013300102
613,72013301200
613,72013300500
614,72013301200
616,72013300102
617,72017590100
617,72054580200
617,72017590400
617,72017590300
617,72017590200
622,72023830603
623,72023830101
623,72023830200
623,72023830502
623,72023830400
623,72097080400
623,72023830603
623,72023830504
623,72023830300
623,72023830102
623,72023830503
623,72023830604
624,72113070502
624,72111730200
624,72111730400
624,72111730800
624,72111730300
624,72059740300
627,72027320300
627,72027320200
627,72027320100
627,72027320401
631,72081958400
637,72121960700
637,72121960600
637,72121960500
637,72121960300
637,72121960800
637,72121960400
638,72107955100
638,72039955700
638,72039955800
641,72141957500
641,72113070513
641,72141957300
641,72141957400
641,72141957000
641,72113071200
641,72141957100
646,72051540600
646,72051540200
646,72051540700
646,72051540500
646,72051540400
646,72137122400
646,72137121801
646,72051540300
646,72135510505
646,72051540100
647,72055961500
647,72055961400
647,72055961200
647,72121960700
650,72054580100
650,72017590200
650,72013300500
650,72013300800
650,72054580200
650,72091570500
650,72013300102
652,72013300101
653,72055961200
653,72153750300
653,72055961100
653,72055961300
656,72059740300
656,72059740400
656,72059740200
659,72065310600
659,72065310500
659,72013301000
659,72065310400
659,72065310200
659,72065310100
659,72065310300
660,72067820400
660,72097080800
660,72067820300
660,72067820500
660,72067820100
662,72071410200
662,72071410600
662,72071410300
662,72071410100
662,72115330300
662,72071410401
662,72071410702
662,72071410402
662,72071410701
662,72071410500
664,72073956100
664,72073956000
664,72073956200
667,72079850300
667,72079850101
667,72079850102
667,72079850200
667,72079850400
669,72081957900
669,72081958000
669,72081958100
670,72083959800
670,72083959900
674,72145560801
674,72091570300
674,72091570202
674,72091570600
674,72145560204
674,72145560701
674,72091570500
674,72091570700
674,72091570201
674,72091570400
674,72145560802
674,72145560402
674,72091570800
674,72091570100
676,72099420200
676,72099420100
676,72099420302
677,72117959400
677,72117959500
677,72011810500
677,72117959600
678,72115330300
678,72115330200
678,72115330100
678,72115330400
680,72097081200
680,72097081000
680,72097080200
680,72097081700
680,72097082022
680,72097081100
680,72097081800
680,72097080900
680,72097082012
680,72097082001
680,72097080100
680,72097082104
680,72097080800
680,72023830300
680,72097080600
680,72097080500
680,72097082103
680,72097081900
680,72097081300
681,72097080400
681,72097080600
682,72097080500
682,72097082102
682,72097081501
682,72097081700
682,72097081512
682,72097080300
682,72097080200
682,72097081522
682,72097082012
682,72097081601
682,72097080600
682,72097080400
682,72097081200
682,72097082001
683,72125840400
683,72125840700
683,72125840500
683,72125840600
683,72125840300
683,72097080900
685,72131009200
685,72131958800
685,72131959200
685,72131959000
685,72131958500
685,72131958900
687,72101955300
687,72101955202
687,72091570201
687,72101955500
687,72101955201
687,72143550500
687,72145560100
687,72091570300
687,72101955401
688,72013302300
690,72005400100
690,72071410200
692,72143550400
692,72101955300
692,72143550300
692,72143550601
692,72143550500
692,72143550200
692,72143550100
692,72143550602
693,72091570300
693,72145560402
693,72145560900
693,72145560201
693,72145560100
693,72145560802
693,72145560801
693,72145560500
693,72145560300
693,72145560702
693,72145560204
693,72145560701
693,72091570202
693,72145560401
693,72145560600
694,72145560701
698,72153750400
698,72153750300
698,72153750202
698,72153750503
698,72153750201
698,72153750102
698,72153750501
698,72153750502
698,72153750602
698,72121960800
698,72153750601
703,72007230400
703,72025201000
703,72007230100
703,72007230200
703,72007230300
704,72123953000
704,72123952900
704,72123953200
705,72009250500
705,72009250200
705,72009250400
705,72009250300
705,72009250100
705,72043954100
705,72035260201
707,72095951600
707,72095951400
714,72015280202
714,72015280201
714,72015280102
715,72113072300
715,72113072400
715,72113073006
716,72113070400
716,72113070201
716,72113070900
716,72113072900
716,72113073005
716,72113072101
716,72113070502
716,72113070503
716,72113070522
716,72113073010
716,72113071602
716,72113070300
716,72113072202
716,72113073004
716,72113072400
716,72113071700
716,72113072102
716,72113072201
716,72113070100
716,72113071601
717,72113072600
717,72113071900
717,72113071700
717,72113071500
717,72113071200
717,72113071300
717,72113072000
717,72113071800
717,72113070503
718,72103170100
718,72103170400
718,72103170300
719,72105520400
719,72127010012
719,72105520300
720,72107955002
720,72075710600
720,72107955100
720,72101955500
721,72119130500
723,72025201800
723,72109290200
723,72109290300
723,72109290100
725,72025201600
725,72025201200
725,72025202000
725,72025200600
725,72025200700
725,72025200200
725,72127010200
725,72025201700
725,72025201800
725,72025202402
725,72025201900
725,72025200400
725,72025202601
725,72025202500
725,72025201300
725,72025202403
725,72025200100
725,72063210504
725,72025200303
725,72025202100
725,72129220200
725,72025202701
725,72025200800
725,72025201000
725,72025202702
725,72041240202
725,72129220100
725,72025200302
725,72025200900
725,72025202200
725,72025202300
725,72025200500
725,72025201500
725,72025202602
726,72025201200
726,72025201800
727,72025200500
727,72025202500
727,72025201500
727,72025202200
727,72025200700
727,72025202701
727,72025202402
727,72025202300
727,72025200303
727,72025202100
727,72025201400
727,72025200302
727,72025200100
727,72025201300
727,72025202602
727,72025201000
727,72025202000
727,72025200304
727,72025202404
727,72025201800
727,72025202403
727,72025200600
728,72113070300
728,72113073003
728,72113071300
728,72113073006
728,72113070100
728,72113071401
728,72113070502
728,72113072201
728,72113073004
728,72113071900
728,72113071402
728,72113073010
728,72113073001
728,72113071500
728,72113073002
728,72113072900
728,72113070201
728,72113073005
728,72113073009
729,72029100502
729,72031051104
729,72029100101
729,72029100602
729,72063210503
729,72029100503
729,72029100800
729,72029100504
729,72087110304
729,72029100200
729,72087110303
729,72029100104
729,72029100400
729,72029100700
729,72031050103
729,72029100103
730,72113072704
730,72113070201
730,72113071800
730,72113072500
730,72113071000
730,72113072201
730,72113070502
730,72113071300
730,72113071601
730,72113070202
730,72113072703
730,72113070513
730,72113070400
730,72113073002
730,72113072701
730,72113071200
730,72113070800
730,72113070514
730,72113071402
730,72113070522
730,72113073001
730,72113071602
730,72113072900
730,72113070900
730,72113070503
730,72113073009
730,72113073006
730,72113070300
730,72113070100
731,72113070502
731,72113072600
732,72113070202
733,72113070300
735,72037160300
735,72037160202
735,72053150602
735,72119130500
735,72037160201
736,72035260600
736,72035260902
736,72025202100
736,72035260100
736,72035260202
736,72035260500
736,72035260201
736,72035260800
736,72035260901
736,72035260700
736,72035260300
737,72035260600
738,72053150102
738,72053150301
738,72053150500
738,72053150602
738,72053150200
738,72053150302
738,72053150104
738,72053150400
739,72041240401
739,72041240101
739,72025200500
739,72041240602
739,72041240202
739,72041240500
739,72041240300
739,72025200900
739,72041240601
739,72035260100
740,72053150400
741,72069180100
742,72037160100
744,72103170200
745,72029100504
745,72119130402
745,72119130602
745,72119130200
745,72119130102
745,72119130601
745,72119130702
745,72119130401
745,72119130300
745,72119130500
745,72119130101
745,72029100400
751,72123953100
751,72123952600
751,72123952900
751,72123953200
751,72123953000
751,72133953700
751,72123952800
754,72035260500
754,72129220300
754,72025201800
754,72129220502
754,72129220200
754,72129220100
754,72129220402
754,72129220401
757,72133953800
757,72133953700
757,72133953600
757,72133953500
757,72133953300
765,72147950500
765,72147950600
766,72149720400
766,72149720502
766,72149720504
766,72075710902
766,72149720503
766,72149720300
767,72151950600
767,72151951000
767,72151951300
767,72151951200
767,72151951100
769,72043954600
769,72043954200
769,72043954100
769,72043954400
769,72043954500
769,72043954700
769,72043954300
769,72043954000
771,72103170400
771,72085190301
771,72085190102
771,72129220300
771,72085190101
771,72085190202
771,72085190201
772,72087110301
772,72087110400
772,72087110500
773,72089140101
773,72089140202
773,72089140201
773,72089140300
775,72049950500
777,72063210504
777,72077500100
777,72077500200
777,72077500301
777,72077500302
777,72063210502
777,72077500401
778,72063210400
778,72139060103
778,72129220100
778,72063210502
778,72025202300
778,72063210202
778,72063210300
778,72127008900
778,72063210503
778,72033020500
778,72063210201
778,72127003502
778,72063210504
780,72113072500
780,72113073004
780,72113072400
780,72113070900
782,72045951900
782,72045952000
782,72127005103
783,72047530300
783,72047530100
783,72047530400
783,72135510701
783,72047530200
784,72057270400
784,72057270202
784,72057270100
784,72057270300
784,72057270600
784,72057270700
784,72057270500
784,72057270201
784,72057270800
785,72057270400
786,72009250100
791,72069180600
791,72069180302
791,72069180500
791,72069180400
791,72069180901
791,72069180902
791,72069180800
791,72069180700
792,72069180600
794,72019952400
794,72047530100
794,72047530300
794,72019952500
794,72019952301
794,72019952201
795,72075710500
795,72075710901
795,72075710600
795,72075710102
795,72075710200
795,72075710800
795,72075710400
795,72113072703
795,72075710301
795,72075710302
795,72113070503
795,72113071800
795,72075710902
795,72075711002
802,78030960200
802,78030960800
802,78030960400
802,78030960900
802,78030961000
802,78030960700
802,78030960100
802,78030961200
802,78030960300
802,78030961100
820,78010970300
820,78010970500
820,78010971500
820,78010970200
820,78010970100
830,78020950100
840,78010971400
840,78010971000
840,78010970900
840,78010971200
840,78010971300
840,78010971100
840,78010970700
