tract,zip,population
48453000101,78731,4652
48453000102,78731,2604
48453000203,78751,1890
48453000204,78756,3013
48453000205,78756,3942
48453000206,78756,3361
48453000302,78751,5075
48453000306,78723,5520
48453000401,78705,4121
48453000402,78722,3565
48453000601,78705,10169
48453000603,78705,8055
48453000604,78705,7430
48453000700,78701,1317
48453000803,78702,2812
48453000901,78702,2530
48453000902,78702,5588
48453001000,78702,3777
48453001100,78701,6608
48453001200,78703,5513
48453001501,78757,5397
48453001503,78752,4046
48453001504,78757,6102
48453001505,78757,4661
48453001602,78703,3420
48453001705,78731,4710
48453001707,78759,5111
48453001712,78745,4803
48453001714,78726,14915
48453001716,78750,6816
48453001737,78749,10736
48453001740,78749,5093
48453001745,78727,2335
48453001746,78748,4588
48453001747,78748,6325
48453001749,78749,6998
48453001750,78745,4978
48453001751,78731,2169
48453001754,78759,5001
48453001755,78759,6153
48453001765,78726,14915
48453001766,78645,9336
48453001768,78738,10404
48453001769,78736,6034
48453001774,78748,8588
48453001775,78739,7322
48453001776,78749,3144
48453001777,78749,6075
48453001782,78750,5240
48453001785,78727,5129
48453001786,78727,5298
48453001804,78752,6789
48453001805,78758,4675
48453001811,78752,3535
48453001812,78752,8399
48453001813,78753,7423
48453001817,78757,4017
48453001818,78757,6453
48453001819,78758,4313
48453001822,78758,7232
48453001826,78758,2623
48453001828,78727,4247
48453001829,78759,2373
48453001832,78753,2937
48453001833,78753,9195
48453001834,78754,10972
48453001835,78753,6729
48453001839,78753,8762
48453001840,78660,11694
48453001842,78660,12791
48453001845,78758,2825
48453001846,78727,2528
48453001847,78727,6785
48453001848,78727,5373
48453001849,78758,7526
48453001850,78758,3722
48453001855,78660,19333
48453001856,78653,8716
48453001857,78664,6840
48453001859,78660,2799
48453001915,78735,1789
48453002002,78745,3467
48453002003,78745,4221
48453002105,78723,4929
48453002108,78723,4132
48453002109,78721,4314
48453002111,78721,5474
48453002201,78724,2176
48453002207,78725,9453
48453002208,78724,8372
48453002210,78653,4370
48453002212,78724,1214
48453002310,78742,3147
48453002403,78745,2603
48453002407,78652,6239
48453002411,78744,7453
48453002421,78748,10705
48453002422,78745,5970
48453002423,78748,5954
48453002425,78744,3859
48453002426,78747,9784
48453002428,78747,7824
48453002431,78744,8941
48453002432,78747,2913
48453002435,78617,8640
48453002436,78719,2795
48453980000,78719,0
48491020310,78681,3703
48491020311,78717,6248
48491020315,78613,8926
48491020317,78613,4913
48491020318,78613,8590
48491020405,78750,6481
48491020408,78729,4727
48491020409,78729,5236
48491020410,78729,5313
48491020503,78681,5503
48491020504,78681,10445
48491020509,78717,7438
48491020510,78717,11131
48491020703,78664,11296
48491020804,78664,11472
48491021508,78664,8560
48491021507,78664,13422
